!SWISSto12 MCK epsilon fit data
!name=Sample_Asphalt_58421AC8DS_19052022_1
!thickness[mm]=23.000
!freq eps tand
75.000 4.468 3.894e-02 
75.050 4.467 3.896e-02 
75.100 4.467 3.899e-02 
75.150 4.467 3.901e-02 
75.200 4.467 3.904e-02 
75.250 4.467 3.906e-02 
75.300 4.467 3.909e-02 
75.350 4.466 3.912e-02 
75.400 4.466 3.915e-02 
75.450 4.466 3.918e-02 
75.500 4.466 3.921e-02 
75.550 4.466 3.924e-02 
75.600 4.466 3.928e-02 
75.650 4.465 3.931e-02 
75.700 4.465 3.935e-02 
75.750 4.465 3.938e-02 
75.800 4.465 3.942e-02 
75.850 4.465 3.946e-02 
75.900 4.465 3.950e-02 
75.950 4.464 3.953e-02 
76.000 4.464 3.957e-02 
76.050 4.464 3.961e-02 
76.100 4.464 3.965e-02 
76.150 4.464 3.969e-02 
76.200 4.464 3.973e-02 
76.250 4.463 3.977e-02 
76.300 4.463 3.981e-02 
76.350 4.463 3.985e-02 
76.400 4.463 3.989e-02 
76.450 4.462 3.993e-02 
76.500 4.462 3.996e-02 
76.550 4.462 4.000e-02 
76.600 4.462 4.004e-02 
76.650 4.461 4.007e-02 
76.700 4.461 4.010e-02 
76.750 4.461 4.013e-02 
76.800 4.461 4.017e-02 
76.850 4.460 4.019e-02 
76.900 4.460 4.022e-02 
76.950 4.460 4.025e-02 
77.000 4.459 4.027e-02 
77.050 4.459 4.030e-02 
77.100 4.459 4.032e-02 
77.150 4.459 4.034e-02 
77.200 4.458 4.035e-02 
77.250 4.458 4.037e-02 
77.300 4.458 4.039e-02 
77.350 4.457 4.040e-02 
77.400 4.457 4.041e-02 
77.450 4.457 4.042e-02 
77.500 4.457 4.043e-02 
77.550 4.456 4.043e-02 
77.600 4.456 4.044e-02 
77.650 4.456 4.044e-02 
77.700 4.456 4.045e-02 
77.750 4.456 4.045e-02 
77.800 4.455 4.045e-02 
77.850 4.455 4.045e-02 
77.900 4.455 4.045e-02 
77.950 4.455 4.045e-02 
78.000 4.455 4.045e-02 
78.050 4.454 4.044e-02 
78.100 4.454 4.044e-02 
78.150 4.454 4.044e-02 
78.200 4.454 4.044e-02 
78.250 4.454 4.043e-02 
78.300 4.454 4.043e-02 
78.350 4.454 4.043e-02 
78.400 4.453 4.043e-02 
78.450 4.453 4.043e-02 
78.500 4.453 4.043e-02 
78.550 4.453 4.043e-02 
78.600 4.453 4.043e-02 
78.650 4.453 4.043e-02 
78.700 4.453 4.043e-02 
78.750 4.453 4.044e-02 
78.800 4.453 4.044e-02 
78.850 4.452 4.045e-02 
78.900 4.452 4.046e-02 
78.950 4.452 4.047e-02 
79.000 4.452 4.047e-02 
79.050 4.452 4.048e-02 
79.100 4.452 4.050e-02 
79.150 4.452 4.051e-02 
79.200 4.452 4.052e-02 
79.250 4.452 4.053e-02 
79.300 4.451 4.054e-02 
79.350 4.451 4.056e-02 
79.400 4.451 4.057e-02 
79.450 4.451 4.059e-02 
79.500 4.451 4.060e-02 
79.550 4.451 4.061e-02 
79.600 4.450 4.063e-02 
79.650 4.450 4.064e-02 
79.700 4.450 4.065e-02 
79.750 4.450 4.066e-02 
79.800 4.450 4.068e-02 
79.850 4.450 4.069e-02 
79.900 4.449 4.070e-02 
79.950 4.449 4.071e-02 
80.000 4.449 4.071e-02 
80.050 4.449 4.072e-02 
80.100 4.449 4.073e-02 
80.150 4.448 4.073e-02 
80.200 4.448 4.073e-02 
80.250 4.448 4.074e-02 
80.300 4.448 4.074e-02 
80.350 4.448 4.074e-02 
80.400 4.447 4.073e-02 
80.450 4.447 4.073e-02 
80.500 4.447 4.073e-02 
80.550 4.447 4.072e-02 
80.600 4.447 4.072e-02 
80.650 4.446 4.071e-02 
80.700 4.446 4.070e-02 
80.750 4.446 4.069e-02 
80.800 4.446 4.068e-02 
80.850 4.446 4.067e-02 
80.900 4.446 4.066e-02 
80.950 4.445 4.064e-02 
81.000 4.445 4.063e-02 
81.050 4.445 4.062e-02 
81.100 4.445 4.060e-02 
81.150 4.445 4.059e-02 
81.200 4.445 4.057e-02 
81.250 4.445 4.056e-02 
81.300 4.445 4.054e-02 
81.350 4.444 4.053e-02 
81.400 4.444 4.052e-02 
81.450 4.444 4.050e-02 
81.500 4.444 4.049e-02 
81.550 4.444 4.048e-02 
81.600 4.444 4.047e-02 
81.650 4.444 4.046e-02 
81.700 4.444 4.045e-02 
81.750 4.444 4.044e-02 
81.800 4.444 4.043e-02 
81.850 4.444 4.042e-02 
81.900 4.444 4.042e-02 
81.950 4.443 4.041e-02 
82.000 4.443 4.041e-02 
82.050 4.443 4.041e-02 
82.100 4.443 4.041e-02 
82.150 4.443 4.040e-02 
82.200 4.443 4.040e-02 
82.250 4.443 4.040e-02 
82.300 4.443 4.041e-02 
82.350 4.443 4.041e-02 
82.400 4.443 4.041e-02 
82.450 4.443 4.041e-02 
82.500 4.443 4.042e-02 
82.550 4.442 4.042e-02 
82.600 4.442 4.043e-02 
82.650 4.442 4.043e-02 
82.700 4.442 4.043e-02 
82.750 4.442 4.044e-02 
82.800 4.442 4.044e-02 
82.850 4.442 4.045e-02 
82.900 4.442 4.045e-02 
82.950 4.441 4.045e-02 
83.000 4.441 4.045e-02 
83.050 4.441 4.045e-02 
83.100 4.441 4.045e-02 
83.150 4.441 4.045e-02 
83.200 4.441 4.045e-02 
83.250 4.441 4.045e-02 
83.300 4.440 4.045e-02 
83.350 4.440 4.044e-02 
83.400 4.440 4.044e-02 
83.450 4.440 4.043e-02 
83.500 4.440 4.042e-02 
83.550 4.440 4.041e-02 
