!SWISSto12 MCK epsilon fit data
!name=Sample_wheel_rubber_2
!thickness[mm]=12.500
!freq eps tand
75.000 3.941 1.766e-01 
75.050 3.943 1.764e-01 
75.100 3.944 1.762e-01 
75.150 3.945 1.761e-01 
75.200 3.946 1.759e-01 
75.250 3.947 1.757e-01 
75.300 3.948 1.755e-01 
75.350 3.949 1.754e-01 
75.400 3.951 1.752e-01 
75.450 3.952 1.750e-01 
75.500 3.953 1.749e-01 
75.550 3.954 1.747e-01 
75.600 3.955 1.745e-01 
75.650 3.957 1.744e-01 
75.700 3.958 1.742e-01 
75.750 3.959 1.740e-01 
75.800 3.960 1.739e-01 
75.850 3.962 1.737e-01 
75.900 3.963 1.736e-01 
75.950 3.964 1.734e-01 
76.000 3.965 1.732e-01 
76.050 3.967 1.731e-01 
76.100 3.968 1.729e-01 
76.150 3.969 1.728e-01 
76.200 3.971 1.726e-01 
76.250 3.972 1.724e-01 
76.300 3.973 1.723e-01 
76.350 3.975 1.721e-01 
76.400 3.976 1.720e-01 
76.450 3.977 1.718e-01 
76.500 3.979 1.717e-01 
76.550 3.980 1.715e-01 
76.600 3.981 1.714e-01 
76.650 3.982 1.712e-01 
76.700 3.984 1.711e-01 
76.750 3.985 1.709e-01 
76.800 3.986 1.708e-01 
76.850 3.988 1.706e-01 
76.900 3.989 1.705e-01 
76.950 3.990 1.703e-01 
77.000 3.992 1.702e-01 
77.050 3.993 1.701e-01 
77.100 3.994 1.699e-01 
77.150 3.996 1.698e-01 
77.200 3.997 1.696e-01 
77.250 3.998 1.695e-01 
77.300 4.000 1.694e-01 
77.350 4.001 1.692e-01 
77.400 4.002 1.691e-01 
77.450 4.004 1.690e-01 
77.500 4.005 1.688e-01 
77.550 4.006 1.687e-01 
77.600 4.008 1.686e-01 
77.650 4.009 1.685e-01 
77.700 4.010 1.684e-01 
77.750 4.012 1.682e-01 
77.800 4.013 1.681e-01 
77.850 4.014 1.680e-01 
77.900 4.016 1.679e-01 
77.950 4.017 1.678e-01 
78.000 4.018 1.677e-01 
78.050 4.020 1.676e-01 
78.100 4.021 1.675e-01 
78.150 4.022 1.674e-01 
78.200 4.023 1.673e-01 
78.250 4.025 1.672e-01 
78.300 4.026 1.671e-01 
78.350 4.027 1.670e-01 
78.400 4.029 1.669e-01 
78.450 4.030 1.668e-01 
78.500 4.031 1.668e-01 
78.550 4.033 1.667e-01 
78.600 4.034 1.666e-01 
78.650 4.035 1.665e-01 
78.700 4.036 1.665e-01 
78.750 4.038 1.664e-01 
78.800 4.039 1.663e-01 
78.850 4.040 1.663e-01 
78.900 4.041 1.662e-01 
78.950 4.043 1.661e-01 
79.000 4.044 1.661e-01 
79.050 4.045 1.660e-01 
79.100 4.046 1.660e-01 
79.150 4.048 1.659e-01 
79.200 4.049 1.658e-01 
79.250 4.050 1.658e-01 
79.300 4.051 1.658e-01 
79.350 4.053 1.657e-01 
79.400 4.054 1.657e-01 
79.450 4.055 1.656e-01 
79.500 4.056 1.656e-01 
79.550 4.058 1.655e-01 
79.600 4.059 1.655e-01 
79.650 4.060 1.655e-01 
79.700 4.061 1.654e-01 
79.750 4.062 1.654e-01 
79.800 4.063 1.654e-01 
79.850 4.065 1.653e-01 
79.900 4.066 1.653e-01 
79.950 4.067 1.653e-01 
80.000 4.068 1.653e-01 
80.050 4.069 1.652e-01 
80.100 4.070 1.652e-01 
80.150 4.072 1.652e-01 
80.200 4.073 1.652e-01 
80.250 4.074 1.652e-01 
80.300 4.075 1.652e-01 
80.350 4.076 1.651e-01 
80.400 4.077 1.651e-01 
80.450 4.078 1.651e-01 
80.500 4.079 1.651e-01 
80.550 4.080 1.651e-01 
80.600 4.081 1.651e-01 
80.650 4.082 1.651e-01 
80.700 4.083 1.651e-01 
80.750 4.084 1.650e-01 
80.800 4.085 1.650e-01 
80.850 4.086 1.650e-01 
80.900 4.087 1.650e-01 
80.950 4.088 1.650e-01 
81.000 4.089 1.650e-01 
81.050 4.090 1.650e-01 
81.100 4.091 1.650e-01 
81.150 4.092 1.650e-01 
81.200 4.093 1.650e-01 
81.250 4.094 1.650e-01 
81.300 4.095 1.650e-01 
81.350 4.096 1.650e-01 
81.400 4.097 1.649e-01 
81.450 4.098 1.649e-01 
81.500 4.098 1.649e-01 
81.550 4.099 1.649e-01 
81.600 4.100 1.649e-01 
81.650 4.101 1.649e-01 
81.700 4.102 1.649e-01 
81.750 4.103 1.649e-01 
81.800 4.103 1.648e-01 
81.850 4.104 1.648e-01 
81.900 4.105 1.648e-01 
81.950 4.106 1.648e-01 
82.000 4.106 1.648e-01 
82.050 4.107 1.647e-01 
82.100 4.108 1.647e-01 
82.150 4.108 1.647e-01 
82.200 4.109 1.646e-01 
82.250 4.110 1.646e-01 
82.300 4.110 1.646e-01 
82.350 4.111 1.646e-01 
82.400 4.111 1.645e-01 
82.450 4.112 1.645e-01 
82.500 4.113 1.644e-01 
82.550 4.113 1.644e-01 
82.600 4.114 1.644e-01 
82.650 4.114 1.643e-01 
82.700 4.115 1.643e-01 
82.750 4.115 1.642e-01 
82.800 4.116 1.642e-01 
82.850 4.116 1.641e-01 
82.900 4.117 1.641e-01 
82.950 4.117 1.640e-01 
83.000 4.117 1.640e-01 
83.050 4.118 1.639e-01 
83.100 4.118 1.639e-01 
83.150 4.119 1.638e-01 
83.200 4.119 1.637e-01 
83.250 4.119 1.637e-01 
83.300 4.120 1.636e-01 
83.350 4.120 1.636e-01 
83.400 4.120 1.635e-01 
83.450 4.121 1.634e-01 
83.500 4.121 1.634e-01 
83.550 4.121 1.633e-01 
83.600 4.121 1.632e-01 
83.650 4.122 1.632e-01 
83.700 4.122 1.631e-01 
83.750 4.122 1.630e-01 
83.800 4.122 1.629e-01 
83.850 4.123 1.629e-01 
83.900 4.123 1.628e-01 
83.950 4.123 1.627e-01 
84.000 4.124 1.626e-01 
84.050 4.124 1.625e-01 
84.100 4.124 1.624e-01 
84.150 4.124 1.624e-01 
84.200 4.125 1.623e-01 
84.250 4.125 1.622e-01 
84.300 4.125 1.621e-01 
84.350 4.125 1.620e-01 
84.400 4.126 1.619e-01 
84.450 4.126 1.618e-01 
84.500 4.126 1.617e-01 
84.550 4.126 1.616e-01 
84.600 4.127 1.615e-01 
84.650 4.127 1.614e-01 
84.700 4.127 1.612e-01 
84.750 4.128 1.611e-01 
84.800 4.128 1.610e-01 
84.850 4.128 1.609e-01 
84.900 4.129 1.608e-01 
84.950 4.129 1.606e-01 
85.000 4.130 1.605e-01 
85.050 4.130 1.604e-01 
85.100 4.130 1.602e-01 
85.150 4.131 1.601e-01 
85.200 4.131 1.599e-01 
85.250 4.132 1.598e-01 
85.300 4.132 1.596e-01 
85.350 4.133 1.595e-01 
85.400 4.133 1.593e-01 
85.450 4.134 1.591e-01 
85.500 4.134 1.590e-01 
85.550 4.135 1.588e-01 
85.600 4.135 1.586e-01 
85.650 4.136 1.584e-01 
85.700 4.137 1.582e-01 
85.750 4.137 1.581e-01 
85.800 4.138 1.579e-01 
85.850 4.138 1.577e-01 
85.900 4.139 1.575e-01 
85.950 4.140 1.573e-01 
86.000 4.140 1.570e-01 
86.050 4.141 1.568e-01 
86.100 4.142 1.566e-01 
86.150 4.142 1.564e-01 
86.200 4.143 1.562e-01 
86.250 4.144 1.559e-01 
86.300 4.144 1.557e-01 
86.350 4.145 1.555e-01 
86.400 4.146 1.553e-01 
86.450 4.147 1.550e-01 
86.500 4.147 1.548e-01 
86.550 4.148 1.545e-01 
86.600 4.149 1.543e-01 
86.650 4.149 1.541e-01 
86.700 4.150 1.538e-01 
86.750 4.151 1.536e-01 
86.800 4.152 1.533e-01 
86.850 4.152 1.531e-01 
86.900 4.153 1.528e-01 
86.950 4.154 1.526e-01 
87.000 4.155 1.523e-01 
87.050 4.156 1.521e-01 
87.100 4.156 1.518e-01 
87.150 4.157 1.516e-01 
87.200 4.158 1.513e-01 
87.250 4.159 1.511e-01 
87.300 4.159 1.508e-01 
87.350 4.160 1.506e-01 
87.400 4.161 1.504e-01 
87.450 4.162 1.501e-01 
87.500 4.163 1.499e-01 
87.550 4.164 1.496e-01 
87.600 4.164 1.494e-01 
87.650 4.165 1.491e-01 
87.700 4.166 1.489e-01 
87.750 4.167 1.487e-01 
87.800 4.168 1.484e-01 
87.850 4.169 1.482e-01 
87.900 4.170 1.480e-01 
87.950 4.171 1.477e-01 
88.000 4.171 1.475e-01 
88.050 4.172 1.473e-01 
88.100 4.173 1.471e-01 
88.150 4.174 1.468e-01 
88.200 4.175 1.466e-01 
88.250 4.176 1.464e-01 
88.300 4.177 1.462e-01 
88.350 4.178 1.459e-01 
88.400 4.179 1.457e-01 
88.450 4.180 1.455e-01 
88.500 4.181 1.453e-01 
88.550 4.182 1.451e-01 
88.600 4.183 1.448e-01 
88.650 4.184 1.446e-01 
88.700 4.186 1.444e-01 
88.750 4.187 1.442e-01 
88.800 4.188 1.440e-01 
88.850 4.189 1.438e-01 
88.900 4.190 1.436e-01 
88.950 4.191 1.433e-01 
89.000 4.192 1.431e-01 
89.050 4.193 1.429e-01 
89.100 4.195 1.427e-01 
89.150 4.196 1.425e-01 
89.200 4.197 1.423e-01 
89.250 4.198 1.421e-01 
89.300 4.199 1.419e-01 
89.350 4.200 1.416e-01 
89.400 4.202 1.414e-01 
89.450 4.203 1.412e-01 
89.500 4.204 1.410e-01 
89.550 4.205 1.408e-01 
89.600 4.206 1.406e-01 
89.650 4.208 1.404e-01 
89.700 4.209 1.402e-01 
89.750 4.210 1.400e-01 
89.800 4.211 1.398e-01 
89.850 4.212 1.396e-01 
89.900 4.214 1.394e-01 
89.950 4.215 1.392e-01 
90.000 4.216 1.390e-01 
