!SWISSto12 MCK epsilon fit data
!name=Acrylic_19052022_1
!thickness[mm]=2.000
!freq eps tand
75.000 2.788 9.393e-03 
75.050 2.788 9.402e-03 
75.100 2.788 9.412e-03 
75.150 2.788 9.422e-03 
75.200 2.788 9.432e-03 
75.250 2.788 9.442e-03 
75.300 2.788 9.453e-03 
75.350 2.788 9.464e-03 
75.400 2.787 9.475e-03 
75.450 2.787 9.486e-03 
75.500 2.787 9.497e-03 
75.550 2.787 9.508e-03 
75.600 2.787 9.519e-03 
75.650 2.787 9.530e-03 
75.700 2.786 9.541e-03 
75.750 2.786 9.552e-03 
75.800 2.786 9.563e-03 
75.850 2.786 9.575e-03 
75.900 2.786 9.586e-03 
75.950 2.785 9.597e-03 
76.000 2.785 9.608e-03 
76.050 2.785 9.618e-03 
76.100 2.785 9.629e-03 
76.150 2.785 9.639e-03 
76.200 2.784 9.650e-03 
76.250 2.784 9.660e-03 
76.300 2.784 9.669e-03 
76.350 2.784 9.679e-03 
76.400 2.784 9.688e-03 
76.450 2.783 9.697e-03 
76.500 2.783 9.706e-03 
76.550 2.783 9.714e-03 
76.600 2.783 9.722e-03 
76.650 2.783 9.729e-03 
76.700 2.783 9.736e-03 
76.750 2.782 9.743e-03 
76.800 2.782 9.750e-03 
76.850 2.782 9.756e-03 
76.900 2.782 9.761e-03 
76.950 2.782 9.767e-03 
77.000 2.782 9.771e-03 
77.050 2.782 9.776e-03 
77.100 2.782 9.781e-03 
77.150 2.781 9.785e-03 
77.200 2.781 9.788e-03 
77.250 2.781 9.792e-03 
77.300 2.781 9.795e-03 
77.350 2.781 9.797e-03 
77.400 2.781 9.800e-03 
77.450 2.781 9.802e-03 
77.500 2.781 9.803e-03 
77.550 2.781 9.805e-03 
77.600 2.781 9.806e-03 
77.650 2.781 9.807e-03 
77.700 2.781 9.807e-03 
77.750 2.781 9.808e-03 
77.800 2.781 9.808e-03 
77.850 2.781 9.808e-03 
77.900 2.781 9.808e-03 
77.950 2.781 9.807e-03 
78.000 2.781 9.807e-03 
78.050 2.781 9.806e-03 
78.100 2.781 9.805e-03 
78.150 2.781 9.804e-03 
78.200 2.781 9.803e-03 
78.250 2.781 9.801e-03 
78.300 2.781 9.800e-03 
78.350 2.781 9.798e-03 
78.400 2.781 9.796e-03 
78.450 2.781 9.794e-03 
78.500 2.781 9.792e-03 
78.550 2.781 9.790e-03 
78.600 2.781 9.788e-03 
78.650 2.781 9.786e-03 
78.700 2.781 9.784e-03 
78.750 2.782 9.782e-03 
78.800 2.782 9.779e-03 
78.850 2.782 9.777e-03 
78.900 2.782 9.775e-03 
78.950 2.782 9.772e-03 
79.000 2.782 9.770e-03 
79.050 2.782 9.767e-03 
79.100 2.782 9.765e-03 
79.150 2.782 9.762e-03 
79.200 2.782 9.760e-03 
79.250 2.782 9.757e-03 
79.300 2.782 9.754e-03 
79.350 2.782 9.751e-03 
79.400 2.782 9.749e-03 
79.450 2.782 9.746e-03 
79.500 2.782 9.743e-03 
79.550 2.782 9.740e-03 
79.600 2.782 9.737e-03 
79.650 2.782 9.734e-03 
79.700 2.782 9.731e-03 
79.750 2.782 9.728e-03 
79.800 2.783 9.725e-03 
79.850 2.783 9.721e-03 
79.900 2.783 9.718e-03 
79.950 2.783 9.714e-03 
80.000 2.783 9.710e-03 
80.050 2.783 9.706e-03 
80.100 2.783 9.703e-03 
80.150 2.783 9.698e-03 
80.200 2.783 9.694e-03 
80.250 2.783 9.690e-03 
80.300 2.783 9.685e-03 
80.350 2.783 9.681e-03 
80.400 2.782 9.676e-03 
80.450 2.782 9.671e-03 
80.500 2.782 9.666e-03 
80.550 2.782 9.660e-03 
80.600 2.782 9.655e-03 
80.650 2.782 9.649e-03 
80.700 2.782 9.643e-03 
80.750 2.782 9.637e-03 
80.800 2.782 9.631e-03 
80.850 2.782 9.624e-03 
80.900 2.782 9.618e-03 
80.950 2.782 9.611e-03 
81.000 2.782 9.604e-03 
81.050 2.782 9.597e-03 
81.100 2.782 9.589e-03 
81.150 2.782 9.582e-03 
81.200 2.782 9.574e-03 
81.250 2.782 9.566e-03 
81.300 2.781 9.558e-03 
81.350 2.781 9.550e-03 
81.400 2.781 9.542e-03 
81.450 2.781 9.533e-03 
81.500 2.781 9.525e-03 
81.550 2.781 9.516e-03 
81.600 2.781 9.508e-03 
81.650 2.781 9.499e-03 
81.700 2.781 9.490e-03 
81.750 2.781 9.481e-03 
81.800 2.781 9.472e-03 
81.850 2.781 9.463e-03 
81.900 2.780 9.454e-03 
81.950 2.780 9.444e-03 
82.000 2.780 9.435e-03 
82.050 2.780 9.426e-03 
82.100 2.780 9.416e-03 
82.150 2.780 9.407e-03 
82.200 2.780 9.398e-03 
82.250 2.780 9.388e-03 
82.300 2.780 9.379e-03 
82.350 2.780 9.370e-03 
82.400 2.780 9.360e-03 
82.450 2.779 9.351e-03 
82.500 2.779 9.342e-03 
82.550 2.779 9.333e-03 
82.600 2.779 9.324e-03 
82.650 2.779 9.315e-03 
82.700 2.779 9.306e-03 
82.750 2.779 9.297e-03 
82.800 2.779 9.288e-03 
82.850 2.779 9.280e-03 
82.900 2.779 9.271e-03 
82.950 2.779 9.262e-03 
83.000 2.779 9.254e-03 
83.050 2.779 9.245e-03 
83.100 2.779 9.237e-03 
83.150 2.778 9.228e-03 
83.200 2.778 9.220e-03 
83.250 2.778 9.211e-03 
83.300 2.778 9.203e-03 
83.350 2.778 9.195e-03 
83.400 2.778 9.187e-03 
83.450 2.778 9.178e-03 
83.500 2.778 9.170e-03 
83.550 2.778 9.162e-03 
83.600 2.778 9.154e-03 
83.650 2.778 9.146e-03 
83.700 2.778 9.138e-03 
83.750 2.778 9.130e-03 
83.800 2.778 9.122e-03 
83.850 2.778 9.114e-03 
83.900 2.778 9.106e-03 
83.950 2.778 9.098e-03 
84.000 2.778 9.090e-03 
84.050 2.778 9.082e-03 
84.100 2.778 9.074e-03 
84.150 2.778 9.066e-03 
84.200 2.778 9.058e-03 
84.250 2.778 9.050e-03 
84.300 2.778 9.042e-03 
84.350 2.778 9.034e-03 
84.400 2.778 9.026e-03 
84.450 2.778 9.018e-03 
84.500 2.778 9.010e-03 
84.550 2.778 9.002e-03 
84.600 2.778 8.994e-03 
84.650 2.778 8.986e-03 
84.700 2.778 8.977e-03 
84.750 2.778 8.969e-03 
84.800 2.778 8.961e-03 
84.850 2.778 8.953e-03 
84.900 2.778 8.944e-03 
84.950 2.778 8.936e-03 
85.000 2.778 8.928e-03 
85.050 2.778 8.919e-03 
85.100 2.778 8.911e-03 
85.150 2.778 8.903e-03 
85.200 2.778 8.894e-03 
85.250 2.778 8.886e-03 
85.300 2.778 8.878e-03 
85.350 2.778 8.869e-03 
85.400 2.778 8.861e-03 
85.450 2.778 8.852e-03 
85.500 2.778 8.844e-03 
85.550 2.778 8.835e-03 
85.600 2.778 8.826e-03 
85.650 2.778 8.818e-03 
85.700 2.778 8.809e-03 
85.750 2.778 8.800e-03 
85.800 2.778 8.791e-03 
85.850 2.778 8.782e-03 
85.900 2.778 8.773e-03 
85.950 2.778 8.764e-03 
86.000 2.778 8.755e-03 
86.050 2.778 8.746e-03 
86.100 2.778 8.736e-03 
86.150 2.778 8.727e-03 
86.200 2.778 8.718e-03 
86.250 2.778 8.708e-03 
86.300 2.778 8.699e-03 
86.350 2.778 8.689e-03 
86.400 2.778 8.680e-03 
86.450 2.778 8.670e-03 
86.500 2.778 8.660e-03 
86.550 2.778 8.650e-03 
86.600 2.778 8.641e-03 
86.650 2.778 8.631e-03 
86.700 2.778 8.621e-03 
86.750 2.778 8.611e-03 
86.800 2.778 8.601e-03 
86.850 2.778 8.591e-03 
86.900 2.778 8.581e-03 
86.950 2.778 8.571e-03 
87.000 2.778 8.561e-03 
87.050 2.778 8.551e-03 
87.100 2.778 8.541e-03 
87.150 2.778 8.530e-03 
87.200 2.778 8.520e-03 
87.250 2.778 8.509e-03 
87.300 2.778 8.499e-03 
87.350 2.778 8.488e-03 
87.400 2.778 8.477e-03 
87.450 2.778 8.467e-03 
87.500 2.778 8.456e-03 
87.550 2.777 8.446e-03 
87.600 2.777 8.435e-03 
87.650 2.777 8.425e-03 
87.700 2.777 8.414e-03 
87.750 2.777 8.404e-03 
87.800 2.777 8.394e-03 
87.850 2.777 8.384e-03 
87.900 2.777 8.374e-03 
87.950 2.777 8.365e-03 
88.000 2.777 8.355e-03 
88.050 2.777 8.346e-03 
88.100 2.777 8.337e-03 
88.150 2.777 8.328e-03 
