!SWISSto12 MCK epsilon fit data
!name=Asphalt_LPD1421LV_19052022_2
!thickness[mm]=18.000
!freq eps tand
75.000 5.163 1.415e-01 
75.050 5.164 1.416e-01 
75.100 5.164 1.417e-01 
75.150 5.165 1.418e-01 
75.200 5.166 1.418e-01 
75.250 5.166 1.419e-01 
75.300 5.167 1.420e-01 
75.350 5.168 1.421e-01 
75.400 5.168 1.422e-01 
75.450 5.169 1.423e-01 
75.500 5.170 1.423e-01 
75.550 5.170 1.424e-01 
75.600 5.171 1.425e-01 
75.650 5.172 1.426e-01 
75.700 5.172 1.427e-01 
75.750 5.173 1.428e-01 
75.800 5.173 1.428e-01 
75.850 5.174 1.429e-01 
75.900 5.175 1.430e-01 
75.950 5.175 1.431e-01 
76.000 5.176 1.432e-01 
76.050 5.176 1.432e-01 
76.100 5.177 1.433e-01 
76.150 5.177 1.434e-01 
76.200 5.178 1.435e-01 
76.250 5.178 1.436e-01 
76.300 5.179 1.437e-01 
76.350 5.179 1.437e-01 
76.400 5.179 1.438e-01 
76.450 5.180 1.439e-01 
76.500 5.180 1.440e-01 
76.550 5.180 1.441e-01 
76.600 5.181 1.442e-01 
76.650 5.181 1.443e-01 
76.700 5.181 1.444e-01 
76.750 5.182 1.444e-01 
76.800 5.182 1.445e-01 
76.850 5.182 1.446e-01 
76.900 5.183 1.447e-01 
76.950 5.183 1.448e-01 
77.000 5.183 1.449e-01 
77.050 5.183 1.450e-01 
77.100 5.183 1.451e-01 
77.150 5.184 1.452e-01 
77.200 5.184 1.453e-01 
77.250 5.184 1.454e-01 
77.300 5.184 1.454e-01 
77.350 5.184 1.455e-01 
77.400 5.184 1.456e-01 
77.450 5.184 1.457e-01 
77.500 5.184 1.458e-01 
77.550 5.184 1.459e-01 
77.600 5.184 1.459e-01 
77.650 5.185 1.460e-01 
77.700 5.185 1.461e-01 
77.750 5.185 1.461e-01 
77.800 5.185 1.462e-01 
77.850 5.185 1.463e-01 
77.900 5.185 1.463e-01 
77.950 5.185 1.464e-01 
78.000 5.185 1.464e-01 
78.050 5.185 1.465e-01 
78.100 5.185 1.465e-01 
78.150 5.185 1.466e-01 
78.200 5.185 1.466e-01 
78.250 5.185 1.467e-01 
78.300 5.185 1.467e-01 
78.350 5.185 1.467e-01 
78.400 5.185 1.467e-01 
78.450 5.185 1.468e-01 
78.500 5.185 1.468e-01 
78.550 5.185 1.468e-01 
78.600 5.185 1.468e-01 
78.650 5.186 1.468e-01 
78.700 5.186 1.468e-01 
78.750 5.186 1.468e-01 
78.800 5.186 1.468e-01 
78.850 5.186 1.468e-01 
78.900 5.186 1.468e-01 
78.950 5.186 1.468e-01 
79.000 5.186 1.468e-01 
79.050 5.186 1.468e-01 
79.100 5.186 1.468e-01 
79.150 5.187 1.467e-01 
79.200 5.187 1.467e-01 
79.250 5.187 1.467e-01 
79.300 5.187 1.467e-01 
79.350 5.187 1.467e-01 
79.400 5.187 1.466e-01 
79.450 5.187 1.466e-01 
79.500 5.187 1.466e-01 
79.550 5.187 1.465e-01 
79.600 5.187 1.465e-01 
79.650 5.187 1.465e-01 
79.700 5.187 1.465e-01 
79.750 5.187 1.464e-01 
79.800 5.187 1.464e-01 
79.850 5.187 1.464e-01 
79.900 5.186 1.463e-01 
79.950 5.186 1.463e-01 
80.000 5.186 1.463e-01 
80.050 5.186 1.462e-01 
80.100 5.186 1.462e-01 
80.150 5.185 1.462e-01 
80.200 5.185 1.461e-01 
80.250 5.185 1.461e-01 
80.300 5.184 1.461e-01 
