!SWISSto12 MCK epsilon fit data
!name=PTFE
!thickness[mm]=3.160
!freq eps tand
75.000 1.905 1.116e-03 
75.050 1.905 1.108e-03 
75.100 1.905 1.100e-03 
75.150 1.906 1.094e-03 
75.200 1.906 1.089e-03 
75.250 1.906 1.085e-03 
75.300 1.906 1.083e-03 
75.350 1.906 1.081e-03 
75.400 1.906 1.081e-03 
75.450 1.906 1.082e-03 
75.500 1.906 1.083e-03 
75.550 1.906 1.086e-03 
75.600 1.906 1.090e-03 
75.650 1.906 1.094e-03 
75.700 1.906 1.100e-03 
75.750 1.906 1.107e-03 
75.800 1.906 1.114e-03 
75.850 1.906 1.123e-03 
75.900 1.906 1.132e-03 
75.950 1.906 1.142e-03 
76.000 1.906 1.153e-03 
76.050 1.906 1.166e-03 
76.100 1.906 1.179e-03 
76.150 1.906 1.192e-03 
76.200 1.906 1.207e-03 
76.250 1.906 1.222e-03 
76.300 1.906 1.237e-03 
76.350 1.906 1.253e-03 
76.400 1.906 1.270e-03 
76.450 1.906 1.287e-03 
76.500 1.906 1.304e-03 
76.550 1.906 1.323e-03 
76.600 1.906 1.341e-03 
76.650 1.906 1.359e-03 
76.700 1.906 1.378e-03 
76.750 1.906 1.397e-03 
76.800 1.906 1.416e-03 
76.850 1.906 1.435e-03 
76.900 1.906 1.454e-03 
76.950 1.906 1.473e-03 
77.000 1.906 1.492e-03 
77.050 1.906 1.511e-03 
77.100 1.906 1.530e-03 
77.150 1.906 1.549e-03 
77.200 1.906 1.569e-03 
77.250 1.906 1.588e-03 
77.300 1.906 1.608e-03 
77.350 1.906 1.627e-03 
77.400 1.906 1.647e-03 
77.450 1.906 1.666e-03 
77.500 1.907 1.685e-03 
77.550 1.907 1.704e-03 
77.600 1.907 1.723e-03 
77.650 1.907 1.742e-03 
77.700 1.907 1.761e-03 
77.750 1.907 1.780e-03 
77.800 1.907 1.799e-03 
77.850 1.907 1.818e-03 
77.900 1.907 1.837e-03 
77.950 1.907 1.855e-03 
78.000 1.907 1.873e-03 
78.050 1.907 1.892e-03 
78.100 1.907 1.910e-03 
78.150 1.907 1.928e-03 
78.200 1.907 1.946e-03 
78.250 1.907 1.964e-03 
78.300 1.908 1.983e-03 
78.350 1.908 2.001e-03 
78.400 1.908 2.019e-03 
78.450 1.908 2.037e-03 
78.500 1.908 2.054e-03 
78.550 1.908 2.072e-03 
78.600 1.908 2.090e-03 
78.650 1.908 2.108e-03 
78.700 1.908 2.127e-03 
78.750 1.908 2.145e-03 
78.800 1.908 2.163e-03 
78.850 1.908 2.182e-03 
78.900 1.908 2.201e-03 
78.950 1.909 2.219e-03 
79.000 1.909 2.238e-03 
79.050 1.909 2.257e-03 
79.100 1.909 2.276e-03 
79.150 1.909 2.295e-03 
79.200 1.909 2.315e-03 
79.250 1.909 2.334e-03 
79.300 1.909 2.354e-03 
79.350 1.909 2.374e-03 
79.400 1.909 2.394e-03 
79.450 1.909 2.414e-03 
79.500 1.909 2.434e-03 
79.550 1.909 2.455e-03 
79.600 1.909 2.476e-03 
79.650 1.909 2.496e-03 
79.700 1.910 2.517e-03 
79.750 1.910 2.538e-03 
79.800 1.910 2.559e-03 
79.850 1.910 2.580e-03 
79.900 1.910 2.601e-03 
79.950 1.910 2.622e-03 
80.000 1.910 2.643e-03 
80.050 1.910 2.664e-03 
80.100 1.910 2.686e-03 
80.150 1.910 2.707e-03 
80.200 1.910 2.728e-03 
80.250 1.910 2.750e-03 
80.300 1.910 2.771e-03 
80.350 1.910 2.792e-03 
80.400 1.910 2.813e-03 
80.450 1.910 2.834e-03 
80.500 1.910 2.855e-03 
80.550 1.910 2.875e-03 
80.600 1.910 2.896e-03 
80.650 1.910 2.916e-03 
80.700 1.910 2.937e-03 
80.750 1.910 2.957e-03 
80.800 1.910 2.977e-03 
80.850 1.910 2.996e-03 
80.900 1.910 3.016e-03 
80.950 1.910 3.035e-03 
81.000 1.910 3.054e-03 
81.050 1.910 3.073e-03 
81.100 1.910 3.092e-03 
81.150 1.910 3.110e-03 
81.200 1.910 3.128e-03 
81.250 1.910 3.146e-03 
81.300 1.910 3.164e-03 
81.350 1.910 3.181e-03 
81.400 1.910 3.198e-03 
81.450 1.910 3.214e-03 
81.500 1.910 3.231e-03 
81.550 1.910 3.246e-03 
81.600 1.910 3.262e-03 
81.650 1.910 3.277e-03 
81.700 1.910 3.292e-03 
81.750 1.910 3.306e-03 
81.800 1.910 3.320e-03 
81.850 1.910 3.334e-03 
81.900 1.910 3.347e-03 
81.950 1.910 3.360e-03 
82.000 1.910 3.373e-03 
82.050 1.910 3.385e-03 
82.100 1.910 3.397e-03 
82.150 1.910 3.409e-03 
82.200 1.910 3.421e-03 
82.250 1.910 3.432e-03 
82.300 1.910 3.443e-03 
82.350 1.910 3.453e-03 
82.400 1.910 3.464e-03 
82.450 1.910 3.474e-03 
82.500 1.910 3.484e-03 
82.550 1.910 3.493e-03 
82.600 1.910 3.503e-03 
82.650 1.910 3.512e-03 
82.700 1.910 3.521e-03 
82.750 1.910 3.530e-03 
82.800 1.910 3.538e-03 
82.850 1.910 3.546e-03 
82.900 1.910 3.554e-03 
82.950 1.910 3.562e-03 
83.000 1.909 3.570e-03 
83.050 1.909 3.577e-03 
83.100 1.909 3.585e-03 
83.150 1.909 3.592e-03 
83.200 1.909 3.599e-03 
83.250 1.909 3.606e-03 
83.300 1.909 3.612e-03 
83.350 1.909 3.619e-03 
83.400 1.909 3.625e-03 
83.450 1.909 3.631e-03 
83.500 1.909 3.637e-03 
83.550 1.909 3.643e-03 
83.600 1.909 3.649e-03 
83.650 1.909 3.655e-03 
83.700 1.909 3.660e-03 
83.750 1.909 3.666e-03 
83.800 1.909 3.671e-03 
83.850 1.909 3.676e-03 
83.900 1.909 3.681e-03 
83.950 1.909 3.686e-03 
84.000 1.909 3.691e-03 
84.050 1.909 3.696e-03 
84.100 1.909 3.701e-03 
84.150 1.909 3.706e-03 
84.200 1.909 3.711e-03 
84.250 1.909 3.715e-03 
84.300 1.909 3.720e-03 
84.350 1.909 3.725e-03 
84.400 1.909 3.729e-03 
