!SWISSto12 MCK epsilon fit data
!name=Sample_3D_Radome_Material_No5_19052022_1
!thickness[mm]=3.000
!freq eps tand
75.000 2.513 7.585e-03 
75.050 2.513 7.624e-03 
75.100 2.514 7.666e-03 
75.150 2.514 7.709e-03 
75.200 2.514 7.754e-03 
75.250 2.514 7.801e-03 
75.300 2.514 7.850e-03 
75.350 2.514 7.900e-03 
75.400 2.514 7.953e-03 
75.450 2.514 8.007e-03 
75.500 2.514 8.062e-03 
75.550 2.514 8.120e-03 
75.600 2.515 8.179e-03 
75.650 2.515 8.239e-03 
75.700 2.515 8.300e-03 
75.750 2.515 8.363e-03 
75.800 2.515 8.428e-03 
75.850 2.515 8.494e-03 
75.900 2.515 8.561e-03 
75.950 2.515 8.630e-03 
76.000 2.515 8.700e-03 
76.050 2.515 8.771e-03 
76.100 2.515 8.843e-03 
76.150 2.515 8.916e-03 
76.200 2.515 8.990e-03 
76.250 2.515 9.065e-03 
76.300 2.515 9.140e-03 
76.350 2.515 9.216e-03 
76.400 2.515 9.293e-03 
76.450 2.515 9.370e-03 
76.500 2.515 9.448e-03 
76.550 2.515 9.526e-03 
76.600 2.515 9.604e-03 
76.650 2.515 9.682e-03 
76.700 2.515 9.761e-03 
76.750 2.515 9.839e-03 
76.800 2.515 9.918e-03 
76.850 2.515 9.996e-03 
76.900 2.515 1.007e-02 
76.950 2.515 1.015e-02 
77.000 2.515 1.023e-02 
77.050 2.515 1.031e-02 
77.100 2.515 1.039e-02 
77.150 2.515 1.047e-02 
77.200 2.515 1.054e-02 
77.250 2.515 1.062e-02 
77.300 2.516 1.070e-02 
77.350 2.516 1.078e-02 
77.400 2.516 1.085e-02 
77.450 2.516 1.093e-02 
77.500 2.516 1.101e-02 
77.550 2.516 1.108e-02 
77.600 2.516 1.116e-02 
77.650 2.516 1.123e-02 
77.700 2.516 1.131e-02 
77.750 2.516 1.138e-02 
77.800 2.516 1.145e-02 
77.850 2.516 1.153e-02 
77.900 2.516 1.160e-02 
77.950 2.517 1.167e-02 
78.000 2.517 1.174e-02 
78.050 2.517 1.182e-02 
78.100 2.517 1.189e-02 
78.150 2.517 1.196e-02 
78.200 2.517 1.203e-02 
78.250 2.517 1.210e-02 
78.300 2.517 1.217e-02 
78.350 2.517 1.223e-02 
78.400 2.517 1.230e-02 
78.450 2.518 1.237e-02 
78.500 2.518 1.244e-02 
78.550 2.518 1.251e-02 
78.600 2.518 1.257e-02 
78.650 2.518 1.264e-02 
78.700 2.518 1.271e-02 
78.750 2.518 1.278e-02 
78.800 2.518 1.284e-02 
78.850 2.518 1.291e-02 
78.900 2.519 1.298e-02 
78.950 2.519 1.304e-02 
79.000 2.519 1.311e-02 
79.050 2.519 1.318e-02 
79.100 2.519 1.324e-02 
79.150 2.519 1.331e-02 
79.200 2.519 1.338e-02 
79.250 2.519 1.344e-02 
79.300 2.519 1.351e-02 
79.350 2.519 1.358e-02 
79.400 2.519 1.364e-02 
79.450 2.520 1.371e-02 
79.500 2.520 1.378e-02 
