!SWISSto12 MCK epsilon fit data
!name=Sample_Asphalt_58421130CI_19052022_2
!thickness[mm]=18.000
!freq eps tand
75.000 4.704 4.079e-02 
75.050 4.704 4.082e-02 
75.100 4.704 4.086e-02 
75.150 4.704 4.090e-02 
75.200 4.704 4.094e-02 
75.250 4.704 4.098e-02 
75.300 4.704 4.103e-02 
75.350 4.705 4.108e-02 
75.400 4.705 4.113e-02 
75.450 4.705 4.118e-02 
75.500 4.705 4.123e-02 
75.550 4.705 4.129e-02 
75.600 4.705 4.134e-02 
75.650 4.705 4.140e-02 
75.700 4.705 4.145e-02 
75.750 4.705 4.151e-02 
75.800 4.706 4.156e-02 
75.850 4.706 4.161e-02 
75.900 4.706 4.167e-02 
75.950 4.706 4.172e-02 
76.000 4.706 4.177e-02 
76.050 4.706 4.182e-02 
76.100 4.706 4.187e-02 
76.150 4.706 4.191e-02 
76.200 4.706 4.196e-02 
76.250 4.706 4.200e-02 
76.300 4.706 4.204e-02 
76.350 4.706 4.208e-02 
76.400 4.706 4.212e-02 
76.450 4.706 4.215e-02 
76.500 4.706 4.218e-02 
76.550 4.706 4.221e-02 
76.600 4.706 4.224e-02 
76.650 4.706 4.226e-02 
76.700 4.706 4.228e-02 
76.750 4.706 4.230e-02 
76.800 4.705 4.232e-02 
76.850 4.705 4.234e-02 
76.900 4.705 4.235e-02 
76.950 4.705 4.236e-02 
77.000 4.705 4.237e-02 
77.050 4.705 4.238e-02 
77.100 4.705 4.239e-02 
77.150 4.705 4.239e-02 
77.200 4.705 4.239e-02 
77.250 4.705 4.239e-02 
77.300 4.705 4.239e-02 
77.350 4.705 4.239e-02 
77.400 4.705 4.239e-02 
77.450 4.705 4.238e-02 
77.500 4.706 4.238e-02 
77.550 4.706 4.237e-02 
77.600 4.706 4.236e-02 
77.650 4.706 4.236e-02 
77.700 4.706 4.235e-02 
77.750 4.706 4.234e-02 
77.800 4.706 4.233e-02 
77.850 4.706 4.233e-02 
