!SWISSto12 MCK epsilon fit data
!name=Sample_Concrete_19052022_2
!thickness[mm]=18.000
!freq eps tand
75.000 3.674 8.907e-02 
75.050 3.675 8.912e-02 
75.100 3.675 8.918e-02 
75.150 3.675 8.924e-02 
75.200 3.676 8.930e-02 
75.250 3.676 8.936e-02 
75.300 3.677 8.943e-02 
75.350 3.677 8.949e-02 
75.400 3.678 8.956e-02 
75.450 3.678 8.963e-02 
75.500 3.679 8.970e-02 
75.550 3.679 8.977e-02 
75.600 3.680 8.984e-02 
75.650 3.680 8.991e-02 
75.700 3.681 8.998e-02 
75.750 3.681 9.006e-02 
75.800 3.681 9.013e-02 
75.850 3.682 9.021e-02 
75.900 3.682 9.028e-02 
75.950 3.683 9.035e-02 
76.000 3.683 9.043e-02 
76.050 3.684 9.051e-02 
76.100 3.684 9.058e-02 
76.150 3.685 9.066e-02 
76.200 3.685 9.073e-02 
76.250 3.686 9.081e-02 
76.300 3.686 9.088e-02 
76.350 3.687 9.096e-02 
76.400 3.687 9.103e-02 
76.450 3.688 9.111e-02 
76.500 3.688 9.119e-02 
76.550 3.689 9.126e-02 
76.600 3.689 9.134e-02 
76.650 3.689 9.141e-02 
76.700 3.690 9.149e-02 
76.750 3.690 9.156e-02 
76.800 3.691 9.164e-02 
76.850 3.691 9.172e-02 
76.900 3.692 9.179e-02 
76.950 3.692 9.187e-02 
77.000 3.693 9.194e-02 
77.050 3.693 9.202e-02 
77.100 3.693 9.210e-02 
77.150 3.694 9.218e-02 
77.200 3.694 9.225e-02 
77.250 3.695 9.233e-02 
77.300 3.695 9.241e-02 
77.350 3.695 9.249e-02 
77.400 3.696 9.257e-02 
77.450 3.696 9.265e-02 
77.500 3.697 9.272e-02 
77.550 3.697 9.281e-02 
77.600 3.697 9.289e-02 
77.650 3.698 9.297e-02 
77.700 3.698 9.305e-02 
77.750 3.699 9.313e-02 
77.800 3.699 9.322e-02 
77.850 3.699 9.330e-02 
77.900 3.700 9.339e-02 
77.950 3.700 9.347e-02 
78.000 3.700 9.356e-02 
78.050 3.701 9.365e-02 
78.100 3.701 9.373e-02 
78.150 3.701 9.382e-02 
78.200 3.702 9.391e-02 
78.250 3.702 9.400e-02 
78.300 3.703 9.409e-02 
78.350 3.703 9.419e-02 
