!SWISSto12 MCK epsilon fit data
!name=Wood_19052022_1
!thickness[mm]=8.300
!freq eps tand
75.000 3.684 4.621e-02 
75.050 3.683 4.623e-02 
75.100 3.681 4.624e-02 
75.150 3.680 4.626e-02 
75.200 3.679 4.627e-02 
75.250 3.677 4.629e-02 
75.300 3.676 4.630e-02 
75.350 3.674 4.632e-02 
75.400 3.673 4.633e-02 
75.450 3.672 4.635e-02 
75.500 3.670 4.636e-02 
75.550 3.669 4.638e-02 
75.600 3.667 4.639e-02 
75.650 3.666 4.641e-02 
75.700 3.665 4.642e-02 
75.750 3.663 4.644e-02 
75.800 3.662 4.645e-02 
75.850 3.661 4.646e-02 
75.900 3.659 4.648e-02 
75.950 3.658 4.649e-02 
76.000 3.656 4.650e-02 
76.050 3.655 4.652e-02 
76.100 3.654 4.653e-02 
76.150 3.652 4.654e-02 
76.200 3.651 4.655e-02 
76.250 3.650 4.656e-02 
76.300 3.648 4.657e-02 
76.350 3.647 4.657e-02 
76.400 3.646 4.658e-02 
76.450 3.644 4.659e-02 
76.500 3.643 4.659e-02 
76.550 3.642 4.659e-02 
76.600 3.640 4.660e-02 
76.650 3.639 4.660e-02 
76.700 3.638 4.660e-02 
76.750 3.637 4.660e-02 
76.800 3.635 4.660e-02 
76.850 3.634 4.660e-02 
76.900 3.633 4.659e-02 
76.950 3.632 4.659e-02 
77.000 3.630 4.658e-02 
77.050 3.629 4.657e-02 
77.100 3.628 4.656e-02 
77.150 3.627 4.656e-02 
77.200 3.625 4.654e-02 
77.250 3.624 4.653e-02 
77.300 3.623 4.652e-02 
77.350 3.622 4.651e-02 
77.400 3.621 4.649e-02 
77.450 3.620 4.648e-02 
77.500 3.619 4.646e-02 
77.550 3.617 4.644e-02 
77.600 3.616 4.642e-02 
77.650 3.615 4.640e-02 
77.700 3.614 4.638e-02 
77.750 3.613 4.636e-02 
77.800 3.612 4.634e-02 
77.850 3.611 4.632e-02 
77.900 3.610 4.629e-02 
77.950 3.609 4.627e-02 
78.000 3.608 4.625e-02 
78.050 3.607 4.622e-02 
78.100 3.606 4.620e-02 
78.150 3.605 4.617e-02 
78.200 3.604 4.615e-02 
78.250 3.603 4.612e-02 
78.300 3.602 4.610e-02 
78.350 3.601 4.607e-02 
78.400 3.600 4.605e-02 
78.450 3.599 4.603e-02 
78.500 3.598 4.600e-02 
78.550 3.597 4.598e-02 
78.600 3.596 4.596e-02 
78.650 3.595 4.593e-02 
78.700 3.594 4.591e-02 
78.750 3.593 4.589e-02 
78.800 3.592 4.587e-02 
78.850 3.591 4.585e-02 
78.900 3.590 4.583e-02 
78.950 3.589 4.582e-02 
79.000 3.588 4.580e-02 
79.050 3.588 4.579e-02 
79.100 3.587 4.577e-02 
79.150 3.586 4.576e-02 
79.200 3.585 4.575e-02 
79.250 3.584 4.574e-02 
79.300 3.583 4.573e-02 
79.350 3.582 4.573e-02 
79.400 3.582 4.572e-02 
79.450 3.581 4.572e-02 
79.500 3.580 4.572e-02 
79.550 3.579 4.572e-02 
79.600 3.578 4.573e-02 
79.650 3.577 4.573e-02 
79.700 3.577 4.574e-02 
79.750 3.576 4.575e-02 
79.800 3.575 4.576e-02 
79.850 3.574 4.577e-02 
79.900 3.573 4.579e-02 
79.950 3.573 4.581e-02 
80.000 3.572 4.583e-02 
80.050 3.571 4.585e-02 
80.100 3.570 4.588e-02 
80.150 3.570 4.590e-02 
80.200 3.569 4.593e-02 
80.250 3.568 4.597e-02 
80.300 3.567 4.600e-02 
80.350 3.567 4.604e-02 
80.400 3.566 4.608e-02 
80.450 3.565 4.612e-02 
80.500 3.564 4.617e-02 
80.550 3.564 4.621e-02 
80.600 3.563 4.626e-02 
80.650 3.562 4.632e-02 
80.700 3.561 4.637e-02 
80.750 3.561 4.643e-02 
80.800 3.560 4.649e-02 
80.850 3.559 4.655e-02 
80.900 3.558 4.661e-02 
80.950 3.558 4.668e-02 
81.000 3.557 4.675e-02 
81.050 3.556 4.682e-02 
81.100 3.555 4.690e-02 
81.150 3.555 4.698e-02 
81.200 3.554 4.705e-02 
81.250 3.553 4.714e-02 
81.300 3.552 4.722e-02 
81.350 3.552 4.731e-02 
81.400 3.551 4.740e-02 
81.450 3.550 4.749e-02 
81.500 3.549 4.758e-02 
81.550 3.548 4.768e-02 
81.600 3.548 4.777e-02 
81.650 3.547 4.787e-02 
81.700 3.546 4.797e-02 
81.750 3.545 4.808e-02 
81.800 3.545 4.818e-02 
81.850 3.544 4.829e-02 
81.900 3.543 4.840e-02 
81.950 3.542 4.851e-02 
82.000 3.541 4.863e-02 
82.050 3.540 4.874e-02 
82.100 3.540 4.886e-02 
82.150 3.539 4.898e-02 
82.200 3.538 4.910e-02 
82.250 3.537 4.922e-02 
82.300 3.536 4.935e-02 
82.350 3.535 4.947e-02 
82.400 3.535 4.960e-02 
82.450 3.534 4.973e-02 
82.500 3.533 4.986e-02 
82.550 3.532 4.999e-02 
82.600 3.531 5.013e-02 
82.650 3.530 5.026e-02 
82.700 3.529 5.040e-02 
82.750 3.528 5.053e-02 
82.800 3.528 5.067e-02 
82.850 3.527 5.081e-02 
82.900 3.526 5.095e-02 
82.950 3.525 5.110e-02 
