material uuid_material uuid_permittivity
PTFE a149348a-fc17-4ff7-9c83-3452403d3b33 5542d167-160a-4056-b6c8-2e1a9df201f2
Radome_Material_No5_19052022_1 066794f3-975e-456c-9bc3-529197e95856 7ea2aee8-cc20-4b7b-82c0-e6387896d753
Acrylic_19052022_1 3a0a38e9-86a1-463a-a389-4c87bae599ea 551e82e6-7fd6-4af7-ba53-f3e743f07898
Asphalt_58421130CI_19052022_1 d17f48fb-06fd-4cee-b4aa-217ad7054aad dbf771e5-7772-49d4-8478-a903620cb8b1
Asphalt_58421130CI_19052022_2 a3b4fea9-ed26-4c66-b2fa-d3b8e9e41b1d f119329f-98ea-4105-bb0f-605c9938b73d
Asphalt_58421AC8DS_19052022_1 40096029-9ff9-4bd5-8153-d19eceaba931 bd4e66e8-196c-419b-bdc6-1a2e5b6ffd15
Asphalt_LPD1421LV_19052022_1 88058ec7-5f4f-4797-8720-34be52133720 88cce554-6eb2-4d0c-b27a-a3e984a9ca02
Asphalt_LPD1421LV_19052022_2 6d9ba7e4-555c-493a-bd82-47c7916d2d58 a5d9b791-304e-4c32-a8ff-262cbfa4b89a
Concrete_19052022_1 18b59488-7679-443c-ae70-e1bed4ad1f57 796e48c4-6618-4652-981e-665af1385480
Concrete_19052022_2_2 2540a2fd-b9d6-4831-827a-5f34b449c01f 972f6491-aa9e-4c45-801d-e565484618bb
Concrete_19052022_2_3 8a860547-96ba-4def-bfd0-be1ef1b64983 c07c7d09-961b-423b-8ca6-967c40f99224
Concrete_19052022_2 e9189a0d-f88b-4864-838b-7769914de2b6 9e9661fa-4033-413b-9241-e1c89e14e6a1
wheel_rubber_1 5e4ffd43-e5bc-45b5-b8e8-7ae32d2cf54e a3e85316-2d4d-4487-a309-5c0ee4f5c5d9
wheel_rubber_2 0068f3f4-d528-480d-94c8-20250d3ea10d f3de8694-947e-4d3c-8b93-bbeb47bd742d
wheel_rubber e441d90e-dc8a-46ea-99c8-a3240b403fc0 c3a75df3-da05-4790-a5e7-735e0a76619e
Wood_19052022_1 c7f78f9f-cd0b-4ed7-86ec-1eff8251e694 cb8233b8-83d6-41ae-91c2-8c85c8064857
